,quarter_id,lat,lon,coordinates,area,population,great_parks_count,great_parks_area,great_parks_ndvi,good_parks_count,good_parks_area,good_parks_ndvi,ok_parks_count,ok_parks_area,ok_parks_ndvi,general_ndvi,general_area
211,way/84832339,56.8174981,60.5291236,"[(56.8178108, 60.5281607), (56.8168654, 60.5291585), (56.8169593, 60.5295125), (56.8172588, 60.529255), (56.8173645, 60.5295876), (56.8177462, 60.5298022), (56.818169, 60.5293516), (56.8178108, 60.5281607)]",7543.64,0,0,0.0,0.0,0,0.0,0.0,1,66241.54,0.4846,0.4846,66241.54
212,way/84832340,56.81730578888889,60.527590877777776,"[(56.8176229, 60.5275921), (56.8173469, 60.5266265), (56.8170063, 60.527002), (56.8171061, 60.5273775), (56.8168948, 60.5276028), (56.8171531, 60.5285684), (56.8175465, 60.5281821), (56.8174526, 60.5277744), (56.8176229, 60.5275921)]",5402.34,0,0,0.0,0.0,0,0.0,0.0,1,66241.54,0.4846,0.4846,66241.54
213,way/84832341,56.81934008,60.52542572,"[(56.8190763, 60.5263829), (56.8201274, 60.5252993), (56.8197129, 60.5240087), (56.8187075, 60.5250548), (56.8190763, 60.5263829)]",11991.27,0,0,0.0,0.0,0,0.0,0.0,1,66241.54,0.4846,0.4846,66241.54
214,way/84832342,56.81899648571429,60.52351184285715,"[(56.8196427, 60.5238529), (56.8191973, 60.5222636), (56.8186554, 60.522397), (56.8188794, 60.5233558), (56.8183427, 60.5239616), (56.8186152, 60.5248991), (56.8196427, 60.5238529)]",11964.1,50,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
215,way/84832345,56.81952803333333,60.53349086666666,"[(56.819041, 60.5345282), (56.8191613, 60.5344049), (56.8208112, 60.5326131), (56.8204413, 60.5314866), (56.8186724, 60.5333842), (56.819041, 60.5345282)]",18488.42,0,0,0.0,0.0,0,0.0,0.0,1,66241.54,0.4846,0.4846,66241.54
216,way/84832347,56.82001964,60.526675260000005,"[(56.8206026, 60.52671), (56.8202033, 60.5254547), (56.8191406, 60.5266027), (56.8195491, 60.5278989), (56.8206026, 60.52671)]",12388.38,25,0,0.0,0.0,0,0.0,0.0,1,66241.54,0.4846,0.4846,66241.54
217,way/84832348,56.81880168,60.52803162,"[(56.8194012, 60.5280689), (56.8189793, 60.5268088), (56.8178981, 60.5279719), (56.8183286, 60.5292396), (56.8194012, 60.5280689)]",12637.8,25,0,0.0,0.0,0,0.0,0.0,1,66241.54,0.4846,0.4846,66241.54
218,way/84832349,56.8221757,60.53240306,"[(56.8214336, 60.5339757), (56.8236646, 60.531315), (56.8232677, 60.530057), (56.821079, 60.5326919), (56.8214336, 60.5339757)]",25861.68,0,0,0.0,0.0,0,0.0,0.0,2,71776.33,0.5004,0.5004,71776.33
219,way/84832350,56.82089332857142,60.5295798,"[(56.8216051, 60.5298248), (56.8211745, 60.5285069), (56.8206866, 60.5290392), (56.8206268, 60.5291044), (56.8200623, 60.5297203), (56.8204929, 60.5310382), (56.8216051, 60.5298248)]",13520.02,0,0,0.0,0.0,0,0.0,0.0,1,66241.54,0.4846,0.4846,66241.54
220,way/84832351,56.82215816,60.53040434,"[(56.8231943, 60.5298289), (56.8228348, 60.5286931), (56.8205646, 60.5312828), (56.8210028, 60.532388), (56.8231943, 60.5298289)]",23978.83,0,0,0.0,0.0,0,0.0,0.0,1,66241.54,0.4846,0.4846,66241.54
221,way/84832352,56.82031404000001,60.52847946000001,"[(56.8200644, 60.529499), (56.8211213, 60.5283188), (56.8206927, 60.526967), (56.8196274, 60.5281135), (56.8200644, 60.529499)]",13299.17,0,0,0.0,0.0,0,0.0,0.0,1,66241.54,0.4846,0.4846,66241.54
222,way/84832356,56.8227524,60.53397691428571,"[(56.8242048, 60.5329672), (56.8237607, 60.5315809), (56.821504, 60.5342117), (56.8218681, 60.535231), (56.8218211, 60.5353168), (56.8219033, 60.5355636), (56.8242048, 60.5329672)]",28484.44,225,0,0.0,0.0,0,0.0,0.0,2,71776.33,0.5004,0.5004,71776.33
223,way/84832357,56.82612771666667,60.53695431666667,"[(56.8259055, 60.5373921), (56.8261539, 60.5371523), (56.8266272, 60.5372197), (56.8266708, 60.5364107), (56.8255034, 60.536159), (56.8259055, 60.5373921)]",6066.04,0,0,0.0,0.0,0,0.0,0.0,3,16237.09,0.6612,0.6612,16237.09
224,way/84832358,56.82416667142856,60.5362478,"[(56.825193, 60.5359175), (56.8247917, 60.5346606), (56.8234418, 60.5360683), (56.8235913, 60.5366298), (56.8233748, 60.5369005), (56.8235811, 60.5376404), (56.825193, 60.5359175)]",17320.82,0,0,0.0,0.0,0,0.0,0.0,4,82478.63,0.5193,0.5193,82478.63
225,way/84832359,56.82476694,60.5373913,"[(56.8241556, 60.5373725), (56.8245805, 60.5386143), (56.8256687, 60.5374024), (56.8252743, 60.5361948), (56.8241556, 60.5373725)]",12516.16,0,0,0.0,0.0,0,0.0,0.0,4,82478.63,0.5193,0.5193,82478.63
226,way/84832360,56.82365414,60.53893784,"[(56.8233803, 60.5399129), (56.8244698, 60.5387265), (56.8240693, 60.5374818), (56.822971, 60.5386551), (56.8233803, 60.5399129)]",12554.76,50,0,0.0,0.0,0,0.0,0.0,3,76943.84,0.507,0.507,76943.84
227,way/84832362,56.82474673,60.54210536,"[(56.8250273, 60.5429114), (56.8251438, 60.540831), (56.8251091, 60.5406073), (56.8250464, 60.5404303), (56.8239482, 60.5416105), (56.8243784, 60.5428958), (56.8244661, 60.5429982), (56.8245753, 60.5430077), (56.8247454, 60.54285), (56.8250273, 60.5429114)]",12958.24,0,0,0.0,0.0,1,7018.94,0.6997,3,12670.51,0.5411,0.5977,19689.45
228,way/84832363,56.82438958,60.53942844,"[(56.8242781, 60.539767), (56.824672, 60.5392922), (56.8245516, 60.5389376), (56.8241681, 60.5393784), (56.8242781, 60.539767)]",1340.67,0,0,0.0,0.0,0,0.0,0.0,4,82478.63,0.5193,0.5193,82478.63
229,way/84832364,56.82553734545454,60.5416078,"[(56.8251907, 60.5403413), (56.82526, 60.5406769), (56.8251326, 60.5429092), (56.8255943, 60.5430066), (56.8256537, 60.5429795), (56.8256833, 60.5428892), (56.825696, 60.5425751), (56.8257806, 60.542597), (56.8259756, 60.5396987), (56.8257533, 60.539671), (56.8251907, 60.5403413)]",13469.33,0,0,0.0,0.0,1,7018.94,0.6997,3,12670.51,0.5411,0.5977,19689.45
230,way/84832365,56.82547712,60.5386168,"[(56.8257576, 60.5376701), (56.8246546, 60.5388346), (56.8250777, 60.5400291), (56.8261381, 60.5388801), (56.8257576, 60.5376701)]",12002.06,100,0,0.0,0.0,0,0.0,0.0,4,82478.63,0.5193,0.5193,82478.63
231,way/84832366,56.826293750000005,60.5375207125,"[(56.8264025, 60.5373144), (56.8261401, 60.5372942), (56.8259163, 60.5374749), (56.8260403, 60.5379683), (56.8262524, 60.5377288), (56.8265852, 60.5376944), (56.8266107, 60.5373763), (56.8264025, 60.5373144)]",1918.07,0,0,0.0,0.0,0,0.0,0.0,2,12553.73,0.6956,0.6956,12553.73
232,way/84832367,56.82306424285714,60.53782282857143,"[(56.823419, 60.5378077), (56.8232118, 60.5372177), (56.8228523, 60.5376849), (56.8228982, 60.5378348), (56.8227677, 60.5380014), (56.8228817, 60.5384056), (56.823419, 60.5378077)]",2572.88,0,0,0.0,0.0,0,0.0,0.0,3,78795.27,0.5182,0.5182,78795.27
233,way/84832375,56.82043094,60.53410156,"[(56.8209169, 60.5329779), (56.8193297, 60.5346438), (56.8197103, 60.5357823), (56.8212809, 60.5341259), (56.8209169, 60.5329779)]",16479.88,0,0,0.0,0.0,0,0.0,0.0,1,66241.54,0.4846,0.4846,66241.54
234,way/84832379,56.81922374,60.5317826,"[(56.8187298, 60.5329602), (56.8203532, 60.5312184), (56.81996, 60.5299744), (56.8183459, 60.5317998), (56.8187298, 60.5329602)]",17946.11,0,0,0.0,0.0,0,0.0,0.0,1,66241.54,0.4846,0.4846,66241.54
