id,название,широта_центра,долгота_центра,все_точки_границ,количество_точек,северная_граница,южная_граница,западная_граница,восточная_граница,сервер
859735757,"Клубный дом ""Ривьера""",56.829511,60.607512,"60.608727,56.829643; 60.609035,56.828693; 60.607042,56.828491; 60.606924,56.828788; 60.606868,56.828793; 60.606535,56.828789; 60.606699,56.829270; 60.606778,56.829278; 60.606647,56.829659; 60.606707,56.829816; 60.606732,56.829816; 60.606771,56.829904; 60.606841,56.830052; 60.607395,56.830104; 60.608106,56.830167; 60.608115,56.830113; 60.608162,56.829958; 60.607530,56.829889; 60.607714,56.829330; 60.608060,56.829366; 60.608000,56.829561; 60.608667,56.829636; 60.608727,56.829643",23,56.830167,56.828491,60.606535,60.609035,https://overpass.kumi.systems/api/interpreter
859735758,Квартал,56.829771,60.610242,"60.610827,56.830379; 60.611354,56.829058; 60.609347,56.828857; 60.608858,56.830181; 60.610827,56.830379",5,56.830379,56.828857,60.608858,60.611354,https://overpass.kumi.systems/api/interpreter
859735759,Квартал,56.829929,60.612516,"60.613246,56.830610; 60.613546,56.829779; 60.612189,56.829650; 60.612353,56.829242; 60.611731,56.829180; 60.611299,56.830430; 60.613246,56.830610",7,56.83061,56.82918,60.611299,60.613546,https://overpass.kumi.systems/api/interpreter
859735760,Квартал,56.830377,60.615154,"60.615770,56.830515; 60.615929,56.830067; 60.615392,56.830006; 60.614972,56.829948; 60.614553,56.830008; 60.614261,56.830693; 60.614678,56.830728; 60.614733,56.830564; 60.615290,56.830621; 60.615349,56.830478; 60.615770,56.830515",11,56.830728,56.829948,60.614261,60.615929,https://overpass.kumi.systems/api/interpreter
859735761,Квартал,56.830248,60.617734,"60.618137,56.831132; 60.618956,56.829135; 60.617130,56.828918; 60.616310,56.830924; 60.618137,56.831132",5,56.831132,56.828918,60.61631,60.618956,https://overpass.kumi.systems/api/interpreter
859735762,Квартал,56.830478,60.620168,"60.620799,56.831390; 60.621511,56.829336; 60.619249,56.829089; 60.618482,56.831185; 60.620799,56.831390",5,56.83139,56.829089,60.618482,60.621511,https://overpass.kumi.systems/api/interpreter
859735763,Квартал,56.830927,60.622338,"60.622702,56.831489; 60.622857,56.830972; 60.622659,56.830951; 60.622707,56.830773; 60.622414,56.830706; 60.622264,56.830514; 60.621789,56.830375; 60.621755,56.830613; 60.621531,56.831383; 60.622702,56.831489",10,56.831489,56.830375,60.621531,60.622857,https://overpass.kumi.systems/api/interpreter
859735764,Квартал,56.834948,60.617179,"60.619206,56.835772; 60.619643,56.834497; 60.619801,56.834065; 60.615121,56.833516; 60.614148,56.835262; 60.615116,56.835380; 60.615188,56.835317; 60.619206,56.835772",8,56.835772,56.833516,60.614148,60.619801,https://overpass.kumi.systems/api/interpreter
859735765,Квартал,56.83537,60.621091,"60.621572,56.836150; 60.622355,56.834372; 60.620348,56.834227; 60.619609,56.835949; 60.621572,56.836150",5,56.83615,56.834227,60.619609,60.622355,https://overpass.kumi.systems/api/interpreter
859735766,Квартал,56.833482,60.626531,"60.628202,56.834800; 60.628729,56.833061; 60.628107,56.832992; 60.627944,56.833381; 60.627807,56.833721; 60.626901,56.833593; 60.627192,56.832947; 60.625899,56.832804; 60.626002,56.832444; 60.625692,56.832380; 60.625639,56.832179; 60.624764,56.832087; 60.624607,56.832647; 60.625453,56.832811; 60.625512,56.832958; 60.624952,56.834419; 60.625099,56.834424; 60.625532,56.834000; 60.626748,56.834103; 60.626734,56.834245; 60.627267,56.834590; 60.627233,56.834690; 60.628202,56.834800",23,56.8348,56.832087,60.624607,60.628729,https://overpass.kumi.systems/api/interpreter
859735767,Квартал,56.8358,60.624266,"60.622225,56.836167; 60.622875,56.834387; 60.625522,56.834635; 60.625293,56.835245; 60.625249,56.835367; 60.625118,56.835425; 60.624757,56.836275; 60.624944,56.836297; 60.625059,56.836311; 60.625035,56.836487; 60.624868,56.836465; 60.622292,56.836173; 60.622225,56.836167",13,56.836487,56.834387,60.622225,60.625522,https://overpass.kumi.systems/api/interpreter
859735768,Квартал,56.837831,60.62385,"60.625399,56.838452; 60.623889,56.838351; 60.622473,56.838161; 60.622094,56.839045; 60.622031,56.839235; 60.621075,56.839124; 60.621654,56.837633; 60.621733,56.837635; 60.621878,56.837230; 60.622261,56.837267; 60.622343,56.837076; 60.623966,56.837262; 60.624197,56.836715; 60.627145,56.837070; 60.626846,56.837850; 60.626327,56.837790; 60.626528,56.837258; 60.625904,56.837186; 60.625399,56.838452",19,56.839235,56.836715,60.621075,60.627145,https://overpass.kumi.systems/api/interpreter
859735769,Квартал,56.840065,60.630773,"60.631785,56.841285; 60.631938,56.840845; 60.631946,56.840820; 60.631958,56.840787; 60.632987,56.837811; 60.627569,56.837083; 60.626217,56.840599; 60.631785,56.841285",8,56.841285,56.837083,60.626217,60.632987,https://overpass.kumi.systems/api/interpreter
